,detected_date,marketplace,search_keyword,img_src,href,product_title,price_value,seller_info
23,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/0217b22d-92f5-40d3-9b45-a2f0dbd4f810.59af3b2138e8307ef357c88fb66a3c81.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4KRN1C9DM-the-prairie-in-her-eyes-the-world-as-home-pre-owned-paperback-1571312684-9781571312686-ann-daum,"The Prairie in Her Eyes The World As Home , Pre-Owned Paperback 1571312684 ...",BHD 4,US Store
24,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/d7fdb2ef-3333-4cef-8cb3-902685356816.d21b90b78a4c5de26a5a6308b30c3a0f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4L1E8154E-the-little-hawaiian-rainbow-pre-owned-hardcover-0896103536-9780896103535-stacey-daum,"The Little Hawaiian Rainbow, Pre-Owned Hardcover 0896103536 9780896103535 Stacey ...",BHD 5,US Store
25,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/302e317f-4bfe-4fe8-9c47-7973fef25b86.57175cd8929e417ce3517f0681402928.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4LP39JT6O-vietnamese-memories-vol-1-leaving-saigon-1-pre-owned-paperback-1594656584-9781594656583-clment-baloup-pierre-daum,"Vietnamese Memories Vol.1: Leaving Saigon 1 , Pre-Owned Paperback 1594656584 ...","BHD 6
7",US Store
26,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/8c0c40c4-65bf-4c6c-92ef-e840e2eafc09_1.82897bf7da3f2440c5e2899f8cf3b5d8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/541YY6EWM-mental-voyager-voiceland-a-gerhard-daum-project,Mental Voyager - Voiceland - A Gerhard Daum Project,BHD 15,US Store
27,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/51158420-56e7-4be7-8f5b-0da97ab9648e_1.69b661821e86ab229b57651ad71a60a5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/7ILDYQCNM-daum-9780847816682-used-pre-owned,Daum 9780847816682 Used / Pre-owned,BHD 26,US Store
28,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/50c508ff-48dc-4955-9c07-db07b5f92793.5928b519f06322d55660c919a2b30b8f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/1MVBQGNS-daum-pimp-up-your-life-16012-disney-star-wars-shape-cushion-bb-8-plush-toy-19-cm,Daum Pimp Up Your Life 16012 Disney Star Wars Shape Cushion BB-8 Plush Toy 19 cm,BHD 15,US Store
29,2022-10-04 19:41:10,Ubuy,daum,https://i5.walmartimages.com/asr/ad0d885b-6728-4d49-adc3-bbac3ce977c2.fe55580cdf935acbd7df4d9206b26163.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/79PXR8S2K-les-romanesques-comdie-en-trois-actes-en-vers-par-edmond-rostand-edited-with-preface-introduction-and-notes-by-henry-le-daum-vocabulary-by,"Les romanesques; comdie en trois actes en vers, par Edmond Rostand; edited with ...",BHD 26,US Store
30,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/b637a149-20aa-49f7-bce3-4c9eace39f48.ef74425ac348d6049b883a8c4c37002b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/7ILDYQCPQ-aboe-bakar-indische-roman-door-maurits-i-e-p-a-daum-1894-leatherbound,Aboe bakar : Indische roman / door Maurits [i. e. P. A. Daum] (1894) [Leatherbound],BHD 28,US Store
31,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/ed1815d3-2018-4c47-b120-74f652e7ed47_1.286f895c2877b6560c941f7e974b6a13.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/1MVBQGLY-studies-in-early-modern-european-history-daum-s-boys-schools-and-the-republic-of-letters-in-early-mo,Studies in Early Modern European History: Daums Boys : Schools and the Republic of ...,BHD 73,US Store
32,2022-10-04 19:41:11,Ubuy,daum,https://i5.walmartimages.com/asr/09522ac3-b487-4a8c-8816-aa91ec7f4029.95cf55faa4529dd5910a1ff8aec8291c.png?odnHeight=180&odnWidth=180&odnBg=ffffff,https://www.ubuy.com.bh/en/product/4JGE0L4ZG-of-course-im-right-im-a-daum-ceramic-15oz-white-mug-white,"Of Course Im Right! Im A Daum! - Ceramic 15oz White Mug, White",BHD 14,US Store
